sep=;
ACCELEROMETER X (m/sÂ²);ACCELEROMETER Y (m/sÂ²);ACCELEROMETER Z (m/sÂ²);GRAVITY X (m/sÂ²);GRAVITY Y (m/sÂ²);GRAVITY Z (m/sÂ²);LINEAR ACCELERATION X (m/sÂ²);LINEAR ACCELERATION Y (m/sÂ²);LINEAR ACCELERATION Z (m/sÂ²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (Î¼T);MAGNETIC FIELD Y (Î¼T);MAGNETIC FIELD Z (Î¼T);ORIENTATION Z (azimuth Â°);ORIENTATION X (pitch Â°);ORIENTATION Y (roll Â°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (Â°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.958;-12.0604;0.661;-2.4626;-9.38;1.4788;-3.4073;4.2898;1.8648;0.185;0.5364;0.4184;0.001;13.12;63.4;0.69;317.65;72.97;59.01;0.0;999.78;50.747;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;13006;2018-03-09 12:03:53:698
1.1483;-8.6085;-7.0556;1.3314;-9.3424;-2.6803;-2.6932;3.904;10.3814;1.8019;-0.1824;0.1215;0.001;3.06;70.51;25.28;56.99;63.55;-159.57;0.0;999.8;56.41;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;13507;2018-03-09 12:03:54:199
2.028;-9.0347;-0.6055;-0.8386;-9.6849;1.3171;-3.3273;1.2374;2.0543;0.6047;2.0196;1.3006;0.001;12.64;69.67;11.34;22.72;85.78;-64.52;0.0;999.75;54.995;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;14006;2018-03-09 12:03:54:698
-2.1806;-3.4259;1.0082;1.87;-8.5395;-4.4516;5.0797;-7.2154;-5.6616;-0.3649;-1.9467;-0.8924;0.001;-11.13;73.7;45.16;156.41;70.0;-156.7;0.0;999.68;51.139;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;14506;2018-03-09 12:03:55:198
2.183;-8.3695;1.1552;0.0249;-9.803;0.3696;-2.7668;-0.451;-1.2837;1.0814;1.5603;0.6631;0.001;-17.4;93.91;23.52;35.2;87.84;-3.86;0.0;999.84;59.451;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;15006;2018-03-09 12:03:55:698
1.753;-8.3395;0.0273;1.639;-8.8843;-3.8235;-0.5517;-0.5429;-3.3799;-1.2301;-1.2632;-1.6714;0.001;-33.08;58.94;51.81;198.14;64.91;-156.8;0.0;999.56;48.759;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;15507;2018-03-09 12:03:56:199
0.3752;-7.9379;0.3358;0.7034;-9.7618;-0.6695;-0.1535;-2.2096;-0.9652;1.4636;1.6866;0.8029;0.001;-35.48;64.76;38.84;191.65;72.24;-156.38;0.0;999.74;58.748;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;16007;2018-03-09 12:03:56:699
-2.8216;-13.6178;0.415;0.4089;-9.4782;-2.4966;-0.1625;3.7308;0.2048;-2.1292;0.3314;-1.3888;0.001;-44.16;52.51;38.6;3.88;77.96;50.89;0.0;999.61;53.027;35.77282;-78.67794;263.23;340.2156534042669;;;71.34516;;0 / 18;16507;2018-03-09 12:03:57:199
-2.6244;-6.492;4.692;1.3369;-9.2664;-2.9296;4.905;9.4241;3.5109;-0.1447;-0.0786;-0.0708;0.001;-15.08;16.0;37.44;180.91;69.37;-158.66;0.0;999.88;57.423;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;17007;2018-03-09 12:03:57:699
3.4025;-12.2376;-1.4865;-0.6145;-9.7877;-0.2426;-2.3582;-0.0427;-0.7545;-0.6699;1.1467;-0.0721;0.001;-14.42;30.64;15.7;294.72;86.14;111.54;0.0;999.87;56.829;35.772808;-78.677895;263.23;NaN;;;70.380646;;0 / 18;17507;2018-03-09 12:03:58:199
