,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s?ý),ACCELEROMETER Y (m/s?ý),,,GRAVITY Y (m/s?ý),,LINEAR ACCELERATION X (m/s?ý),LINEAR ACCELERATION Y (m/s?ý),,,,,LIGHT (lux),MAGNETIC FIELD X (?¬T),,,,ORIENTATION X (pitch ?ø),ORIENTATION Y (roll ?ø),,ATMOSPHERIC PRESSURE (hPa),,,,,,,,,,,Time since start in ms 
0.0445,3.9754,,,2.5659,,0.8052,-1.2746,,,,,24.023,14.99,,,,-19.51,-9.49,,999.81,,,,,,,,,,,6
-0.3191,7.4781,,,6.5493,,-0.8104,-1.113,,,,,28.472,20.93,,,,-41.88,5.05,,999.8,,,,,,,,,,,506
0.6578,8.1561,,,6.6247,,-1.1881,-2.4051,,,,,21.354,13.95,,,,-43.54,-3.94,,999.79,,,,,,,,,,,1006
-0.7464,6.9516,,,6.0159,,0.423,-0.8579,,,,,21.354,22.19,,,,-38.86,0.9,,999.79,,,,,,,,,,,1506
-0.7508,6.0088,,,4.5601,,0.9987,-1.2167,,,,,21.354,18.6,,,,-30.24,-1.05,,999.8,,,,,,,,,,,2006
-1.2243,4.3656,,,4.1853,,-1.1838,-1.2467,,,,,24.913,25.86,,,,-25.62,3.3,,999.78,,,,,,,,,,,2506
-1.8687,6.2684,,,7.3632,,0.857,1.182,,,,,32.921,18.79,,,,-39.78,14.2,,999.73,,,,,,,,,,,3006
22.0487,-1.8907,,,-4.5341,,-13.1496,1.8568,,,,,32.921,-66.86,,,,-34.75,-95.66,,999.68,,,,,,,,,,,3506
13.0007,-1.9805,,,-2.0727,,-2.1092,0.401,,,,,38.259,-59.28,,,,14.53,-81.2,,999.73,,,,,,,,,,,4006
10.7083,-0.0652,,,0.124,,-5.0127,-3.8089,,,,,25.803,-69.18,,,,-0.72,-68.77,,999.74,,,,,,,,,,,4506
5.5001,2.5528,,,0.113,,3.1155,-2.9956,,,,,25.803,-67.02,,,,0.95,-88.26,,999.71,,,,,,,,,,,5006
8.7562,-9.2811,,,-2.1277,,-2.142,4.0437,,,,,1.78,-47.72,,,,12.53,-99.61,,999.67,,,,,,,,,,,5506
2.8892,-8.8593,,,-7.6157,,5.7377,-1.307,,,,,0.001,-23.92,,,,39.48,-81.44,,999.75,,,,,,,,,,,6008
4.0589,-4.5838,,,-6.5635,,3.5169,-3.1118,,,,,0.001,-26.43,,,,46.18,-110.56,,1000.15,,,,,,,,,,,6507
0.3552,-12.2965,,,-9.562,,-7.3123,4.317,,,,,0.001,14.64,,,,77.09,47.75,,999.99,,,,,,,,,,,7007
2.2907,-15.5653,,,-9.2754,,-13.4792,27.7881,,,,,0.001,-8.64,,,,62.97,-163.28,,1000.03,,,,,,,,,,,7507
1.5198,-13.76,,,-9.4368,,-4.456,0.154,,,,,0.001,19.45,,,,83.88,47.42,,999.89,,,,,,,,,,,8008
16.7499,-41.042,,,-9.3296,,-12.3046,22.7527,,,,,0.001,-2.73,,,,75.35,-166.88,,999.82,,,,,,,,,,,8506
1.331,-10.9625,,,-9.6217,,-4.2099,0.0636,,,,,0.001,2.31,,,,88.51,-8.74,,999.8,,,,,,,,,,,9006
-2.854,-2.6763,,,-8.8905,,4.0098,-5.925,,,,,0.001,3.29,,,,80.23,175.19,,999.73,,,,,,,,,,,9507
2.6054,-8.8569,,,-9.7567,,-0.9884,-2.3474,,,,,0.001,11.64,,,,87.06,-151.16,,999.87,,,,,,,,,,,10007
1.6388,-10.3889,,,-8.8638,,2.1611,-3.6916,,,,,0.001,-0.44,,,,76.14,-173.05,,999.61,,,,,,,,,,,10507
-0.1514,-7.7659,,,-9.7732,,-0.6894,3.069,,,,,0.001,-13.1,,,,73.36,-158.99,,999.8,,,,,,,,,,,11006
-1.1389,-13.3665,,,-9.7698,,1.6004,1.2679,,,,,0.001,2.4,,,,84.81,102.53,,999.83,,,,,,,,,,,11507
-2.2302,-9.3671,,,-9.3465,,0.4808,-0.2567,,,,,0.001,4.58,,,,73.15,150.58,,999.69,,,,,,,,,,,12006
-2.2213,-9.5211,,,-9.4722,,-1.9566,1.1831,,,,,0.001,-1.02,,,,74.92,158.38,,1000.07,,,,,,,,,,,12506
2.958,-12.0604,,,-9.38,,-3.4073,4.2898,,,,,0.001,13.12,,,,72.97,59.01,,999.78,,,,,,,,,,,13006
1.1483,-8.6085,,,-9.3424,,-2.6932,3.904,,,,,0.001,3.06,,,,63.55,-159.57,,999.8,,,,,,,,,,,13507
2.028,-9.0347,,,-9.6849,,-3.3273,1.2374,,,,,0.001,12.64,,,,85.78,-64.52,,999.75,,,,,,,,,,,14006
-2.1806,-3.4259,,,-8.5395,,5.0797,-7.2154,,,,,0.001,-11.13,,,,70,-156.7,,999.68,,,,,,,,,,,14506
2.183,-8.3695,,,-9.803,,-2.7668,-0.451,,,,,0.001,-17.4,,,,87.84,-3.86,,999.84,,,,,,,,,,,15006
1.753,-8.3395,,,-8.8843,,-0.5517,-0.5429,,,,,0.001,-33.08,,,,64.91,-156.8,,999.56,,,,,,,,,,,15507
0.3752,-7.9379,,,-9.7618,,-0.1535,-2.2096,,,,,0.001,-35.48,,,,72.24,-156.38,,999.74,,,,,,,,,,,16007
-2.8216,-13.6178,,,-9.4782,,-0.1625,3.7308,,,,,0.001,-44.16,,,,77.96,50.89,,999.61,,,,,,,,,,,16507
-2.6244,-6.492,,,-9.2664,,4.905,9.4241,,,,,0.001,-15.08,,,,69.37,-158.66,,999.88,,,,,,,,,,,17007
3.4025,-12.2376,,,-9.7877,,-2.3582,-0.0427,,,,,0.001,-14.42,,,,86.14,111.54,,999.87,,,,,,,,,,,17507
-0.5625,-10.0459,,,-9.3761,,1.355,0.5089,,,,,0.001,-12.53,,,,70.16,-170.38,,999.7,,,,,,,,,,,18006
-0.6184,-9.081,,,-9.1288,,0.2563,-0.2145,,,,,0.001,-11.92,,,,69.7,-178.28,,999.84,,,,,,,,,,,18507
-1.6146,-9.3799,,,-8.9663,,0.0504,-2.286,,,,,0.001,-12.72,,,,66.06,169.78,,999.91,,,,,,,,,,,19006
1.6087,-10.2013,,,-9.7382,,-1.1882,0.0187,,,,,0.001,-9.09,,,,83.06,20.95,,999.7,,,,,,,,,,,19507
1.319,-9.8667,,,-9.4947,,1.939,-2.2153,,,,,0.001,-16.67,,,,75.43,-161.16,,999.52,,,,,,,,,,,20006
0.8717,-8.1997,,,-9.3936,,-2.7737,6.3249,,,,,0.001,-18.15,,,,72.59,-119.56,,999.79,,,,,,,,,,,20506
-1.9632,-9.9014,,,-9.715,,2.7449,1.202,,,,,0.001,-11.46,,,,81.99,-105.14,,999.77,,,,,,,,,,,21009
-0.6744,-9.8739,,,-9.5521,,0.6584,-1.715,,,,,0.001,-0.33,,,,79.43,153.96,,999.82,,,,,,,,,,,21506
-0.7261,-10.1846,,,-9.7487,,-0.4047,0.3509,,,,,0.001,0.29,,,,83.17,87.97,,999.74,,,,,,,,,,,22007
-0.9665,-9.7902,,,-9.7706,,-4.00E-04,-0.0229,,,,,0.001,1.88,,,,84.86,80.97,,999.71,,,,,,,,,,,22506
-0.8811,-9.9716,,,-9.7871,,0.3672,-0.2754,,,,,0.001,0.58,,,,85.86,66.76,,999.73,,,,,,,,,,,23006
-0.0069,-9.8763,,,-9.8097,,-0.0959,0.15,,,,,0.001,0.76,,,,86.95,36.89,,999.72,,,,,,,,,,,23507
0.3663,-9.7043,,,-9.5389,,-1.6908,0.2782,,,,,0.001,-1.57,,,,76.5,165.07,,999.69,,,,,,,,,,,24006
0.4004,-9.2049,,,-9.0678,,1.8995,-0.5042,,,,,0.001,-8.97,,,,67.89,-164.4,,999.78,,,,,,,,,,,24507
0.3112,-11.05,,,-9.8011,,0.5834,1.5114,,,,,0.001,0.16,,,,80.01,-149.32,,999.69,,,,,,,,,,,25006
-3.8523,-16.5614,,,-6.1994,,0.6437,0.2567,,,,,0.001,2.89,,,,78.87,52.9,,999.55,,,,,,,,,,,25506
0.9316,-11.8479,,,-8.4087,,-0.3995,1.0987,,,,,0.001,-7.91,,,,59,-159.21,,999.68,,,,,,,,,,,26007
0.5428,-16.504,,,-9.7193,,-3.9854,3.7917,,,,,0.001,-18.17,,,,82.2,53.98,,999.43,,,,,,,,,,,26507
0.5727,-14.6119,,,-7.2134,,1.527,5.3765,,,,,0.001,-24.79,,,,47.33,-171.27,,1000.16,,,,,,,,,,,27006
-3.7631,-16.3426,,,-9.6113,,1.956,7.7843,,,,,0.001,-19.03,,,,78.45,56.57,,999.59,,,,,,,,,,,27507
1.2216,-5.1273,,,-6.6194,,4.7257,3.7629,,,,,0.001,-19.72,,,,42.44,-178.69,,1000.04,,,,,,,,,,,28006
-1.3452,-15.0279,,,-9.6326,,-4.9584,3.2591,,,,,0.001,-14.44,,,,87.38,107.13,,999.64,,,,,,,,,,,28507
-2.1135,-0.2863,,,-6.1516,,2.1754,-4.7393,,,,,0.001,-5.79,,,,38.83,174.55,,999.97,,,,,,,,,,,29007
-0.3846,-8.9167,,,-9.7367,,-3.1915,1.909,,,,,0.001,-8.7,,,,82.99,66.37,,999.54,,,,,,,,,,,29506
-1.4065,-5.2301,,,-6.9618,,1.4009,-3.433,,,,,0.001,-0.9,,,,66.75,-172.56,,999.81,,,,,,,,,,,30007
3.6357,-9.1688,,,-9.8001,,-3.1106,-1.6021,,,,,0.001,-9.16,,,,53.46,-175.06,,999.59,,,,,,,,,,,30506
4.297,-14.3981,,,-7.9564,,4.319,2.0661,,,,,0.001,-8.66,,,,82.37,153.61,,999.5,,,,,,,,,,,31006
0.2716,-11.9336,,,-8.5692,,0.586,3.6205,,,,,0.001,-26.63,,,,45.6,-174.22,,1000.15,,,,,,,,,,,31506
2.2718,-11.5755,,,-9.7203,,-2.2453,1.1248,,,,,0.001,-7.86,,,,79.66,-24.33,,999.37,,,,,,,,,,,32006
-2.663,-6.2064,,,-9.4053,,2.0472,-2.2771,,,,,0.001,-20.21,,,,66.56,-162.57,,999.58,,,,,,,,,,,32507
2.3354,-10.0304,,,-9.6915,,-2.9499,-0.1994,,,,,0.001,-2.18,,,,81.33,-76.28,,999.59,,,,,,,,,,,33006
1.4413,-16.272,,,-9.7755,,3.2467,1.5739,,,,,0.001,-4.38,,,,85.19,23.27,,999.49,,,,,,,,,,,33507
-1.224,-15.0362,,,-7.8128,,0.735,1.5396,,,,,0.001,-16.14,,,,52.79,-171.22,,999.74,,,,,,,,,,,34006
-1.1492,-15.5204,,,-9.6092,,0.9959,7.8703,,,,,0.001,-6.95,,,,82.94,15.61,,999.24,,,,,,,,,,,34507
-2.404,-5.1518,,,-7.2007,,0.4435,-3.3523,,,,,0.001,-25.82,,,,47.22,177.38,,1000.07,,,,,,,,,,,35006
1.246,-10.4569,,,-9.6347,,-1.8295,2.3149,,,,,0.001,-16.4,,,,79.15,22.51,,999.42,,,,,,,,,,,35507
-0.7183,-4.9981,,,-6.9591,,0.8157,-3.0515,,,,,0.001,-42.02,,,,45.19,176.08,,999.64,,,,,,,,,,,36006
2.1616,-9.5329,,,-9.7446,,-1.7122,-0.2038,,,,,0.001,-38.76,,,,67.94,-165.6,,999.52,,,,,,,,,,,36508
-0.2755,-11.1397,,,-9.0888,,0.0914,-2.4065,,,,,0.001,-30.44,,,,67.89,-178.81,,999.35,,,,,,,,,,,37006
-0.7187,-10.0289,,,-9.1856,,-0.4107,1.9717,,,,,0.001,-24.21,,,,69.45,-172.61,,999.43,,,,,,,,,,,37507
-1.9838,-15.095,,,-9.6612,,1.0359,5.3668,,,,,0.001,-11.92,,,,79.58,47.74,,999.23,,,,,,,,,,,38007
-2.4055,-5.4375,,,-6.9621,,0.5371,-3.1339,,,,,0.001,-14.89,,,,40.57,168.87,,999.78,,,,,,,,,,,38507
2.7742,-8.5063,,,-9.7602,,-2.4373,-1.5415,,,,,0.001,2.54,,,,79,-148.56,,999.09,,,,,,,,,,,39007
-3.2878,-5.0647,,,-9.0265,,0.2617,-4.0544,,,,,0.001,20.73,,,,82.79,146.45,,999.19,,,,,,,,,,,39507
1.603,-10.9312,,,-9.6599,,-4.7073,2.1028,,,,,0.001,18.22,,,,78.57,95.08,,999.36,,,,,,,,,,,40007
-0.6846,-9.2057,,,-9.616,,-1.386,-0.3285,,,,,0.001,-0.58,,,,81.33,68.12,,999.33,,,,,,,,,,,40506
-1.2058,-4.3624,,,-8.607,,-0.0682,-1.1063,,,,,0.001,21.55,,,,61.33,177.88,,999.3,,,,,,,,,,,41006
1.7857,-9.53,,,-9.6422,,-1.2913,-2.6954,,,,,0.001,14.77,,,,79.39,174.89,,999.27,,,,,,,,,,,41508
-0.8914,-3.8443,,,-7.9895,,1.3903,-5.8725,,,,,0.001,13.57,,,,58.87,178.09,,999.18,,,,,,,,,,,42007
2.715,-8.9578,,,-9.7055,,-2.453,-0.8378,,,,,0.001,13.28,,,,81.63,-169.65,,999.41,,,,,,,,,,,42507
-2.2287,-1.6834,,,-8.8139,,-0.4731,-2.264,,,,,0.001,21.96,,,,54.21,-179.57,,999.29,,,,,,,,,,,43008
0.8561,-7.6275,,,-9.7276,,-0.9951,-2.653,,,,,0.001,23.47,,,,78.55,169.64,,999.35,,,,,,,,,,,43506
-0.1767,-5.6247,,,-9.4256,,-0.9719,-3.7301,,,,,0.001,22.77,,,,55.56,169.71,,999.34,,,,,,,,,,,44007
0.6848,-7.4856,,,-9.7377,,-0.8459,-1.5825,,,,,0.001,14.74,,,,83.04,148.79,,999.44,,,,,,,,,,,44507
0.5517,-12.1373,,,-9.6245,,2.527,-2.1126,,,,,0.001,2.71,,,,64.9,174.31,,999.41,,,,,,,,,,,45007
0.6512,-13.5239,,,-9.2315,,-1.9106,5.4367,,,,,0.001,-7.44,,,,79.35,159.98,,999.49,,,,,,,,,,,45507
-1.1607,-16.2897,,,-9.5457,,-3.0184,2.3454,,,,,0.001,-14.12,,,,76.67,-178.89,,999.62,,,,,,,,,,,46007
2.2496,-14.6148,,,-9.5628,,-4.8249,1.9536,,,,,0.001,0.64,,,,83.03,91.49,,999.66,,,,,,,,,,,46506
4.4721,-9.0196,,,-9.4558,,-4.8647,-0.4089,,,,,0.001,10.62,,,,74.56,-176.35,,999.55,,,,,,,,,,,47006
2.3632,-9.5333,,,-9.7617,,-0.0626,-0.4154,,,,,0.001,29.79,,,,80.05,179.31,,999.54,,,,,,,,,,,47506
0.2731,-11.8108,,,-9.1861,,-3.0665,3.6136,,,,,0.001,32.57,,,,81.06,85.42,,999.48,,,,,,,,,,,48007
0.5365,-9.7999,,,-9.5686,,1.6312,-1.4873,,,,,0.001,12.3,,,,77.26,-148.92,,999.41,,,,,,,,,,,48506
1.886,-7.8338,,,-9.722,,-1.192,-1.9582,,,,,0.001,3.91,,,,82.32,-144.37,,999.63,,,,,,,,,,,49006
0.2535,-8.2048,,,-9.6218,,0.1719,3.8739,,,,,0.001,3.19,,,,78.76,-164.34,,999.57,,,,,,,,,,,49507
-1.7097,-8.0037,,,-9.6894,,2.6778,-1.5833,,,,,0.001,9.09,,,,78.39,-149.07,,999.7,,,,,,,,,,,50007
2.196,-13.1731,,,-9.7705,,-0.421,3.2469,,,,,0.001,7.35,,,,80.83,-172.69,,999.71,,,,,,,,,,,50506
1.2405,-2.5118,,,-8.4055,,1.833,-7.7309,,,,,0.001,4.43,,,,58.96,-177.1,,999.52,,,,,,,,,,,51006
-0.6968,-7.615,,,-9.7029,,0.8882,-2.5895,,,,,0.001,3.14,,,,80.74,174.84,,999.47,,,,,,,,,,,51507
-0.092,-23.9962,,,-9.76,,-5.2863,28.4126,,,,,0.001,-25.6,,,,84.21,-139.29,,999.88,,,,,,,,,,,52006
-1.9194,-2.4011,,,-9.1189,,1.2794,-5.8758,,,,,0.001,-32.8,,,,68.36,-172.24,,999.77,,,,,,,,,,,52507
0.1954,-8.2607,,,-9.7836,,-0.8041,-1.8918,,,,,0.001,-14.21,,,,75.07,-172.6,,999.72,,,,,,,,,,,53006
-0.3288,-7.4694,,,-9.1377,,0.6521,-2.2011,,,,,0.001,-11.27,,,,68.67,-173.4,,999.68,,,,,,,,,,,53507
1.8408,-9.8896,,,-9.7584,,-0.8038,0.5073,,,,,0.001,-23.58,,,,77.36,-166.09,,999.65,,,,,,,,,,,54006
1.8716,-12.5999,,,-9.5463,,-3.6861,3.0221,,,,,0.001,-17.01,,,,76.75,45.45,,999.66,,,,,,,,,,,54507
-1.8521,-3.4994,,,-9.5107,,-0.4057,-1.0524,,,,,0.001,12.26,,,,62.71,-168.93,,999.64,,,,,,,,,,,55006
3.0986,-9.4895,,,-9.6596,,-0.4641,-2.5471,,,,,0.001,3.45,,,,78.65,-156.97,,999.85,,,,,,,,,,,55507
-0.8367,-5.3044,,,-9.5232,,-0.9067,-1.0184,,,,,0.001,0.74,,,,76.11,-177.08,,999.7,,,,,,,,,,,56007
-0.2344,-8.1875,,,-9.5936,,-1.3824,7.1997,,,,,0.001,-0.6,,,,77.94,-166.69,,999.85,,,,,,,,,,,56507
3.4141,-14.3206,,,-9.7627,,6.2012,3.1826,,,,,0.001,5.93,,,,84.37,-141.71,,999.85,,,,,,,,,,,57007
0.366,-6.1586,,,-8.1042,,-0.0987,-4.0576,,,,,0.001,6.41,,,,55.7,-175.84,,1000.16,,,,,,,,,,,57507
0.6227,-7.3826,,,-9.7608,,0.2536,-1.1752,,,,,0.001,0.11,,,,84.26,-165.73,,999.7,,,,,,,,,,,58006
-0.5833,-12.052,,,-9.7464,,0.8881,3.6503,,,,,0.001,-12.08,,,,83.47,161.09,,999.74,,,,,,,,,,,58506
0.2594,-15.5241,,,-9.5381,,1.4938,7.7455,,,,,0.001,-15.68,,,,76.48,-176.22,,999.92,,,,,,,,,,,59007
-0.0532,-16.2327,,,-9.4754,,-1.1336,8.917,,,,,0.001,-9.72,,,,74.99,-171.83,,999.98,,,,,,,,,,,59506
-1.1274,-12.1443,,,-9.5574,,-4.8081,4.2878,,,,,0.001,-5.2,,,,77.36,66.08,,999.95,,,,,,,,,,,60006
1.098,-9.1987,,,-9.5315,,-1.2559,-1.7759,,,,,0.001,0.15,,,,77.57,176.36,,999.99,,,,,,,,,,,60507
-0.3432,-9.7498,,,-9.6915,,-0.2203,0.6217,,,,,0.001,10.69,,,,84.31,41.84,,999.86,,,,,,,,,,,61006
0.9745,-13.3157,,,-9.1417,,0.102,2.8813,,,,,0.001,33.34,,,,82.9,89.47,,999.96,,,,,,,,,,,61506
1.9429,-16.6217,,,-9.7155,,-0.9134,10.6848,,,,,0.001,11.24,,,,79.5,-171.78,,999.82,,,,,,,,,,,62007
1.9688,-9.4947,,,-8.3602,,1.4172,6.4871,,,,,0.001,10.31,,,,80.2,172.93,,1000.09,,,,,,,,,,,62507
-1.4833,-9.017,,,-9.6855,,-4.5913,8.0527,,,,,0.001,11.81,,,,85.47,172.59,,1000.12,,,,,,,,,,,63007
-0.496,-16.8563,,,-8.6861,,-1.1004,5.543,,,,,0.001,12.02,,,,62.31,179.83,,1000.29,,,,,,,,,,,63506
1.6581,-14.6799,,,-9.6774,,-2.3123,-1.3181,,,,,0.001,7.98,,,,80.57,-160.83,,1000.14,,,,,,,,,,,64006
-2.1122,-0.8266,,,-8.8385,,1.5464,-4.1425,,,,,0.001,12.44,,,,59.68,-178.1,,1000.28,,,,,,,,,,,64507
0.424,-7.0561,,,-9.7425,,-1.2876,-2.0054,,,,,0.001,13.64,,,,83.28,-179.4,,999.93,,,,,,,,,,,65007
-1.0494,-10.6853,,,-9.7713,,-0.4573,2.2982,,,,,0.001,11.82,,,,72.04,179.18,,999.9,,,,,,,,,,,65507
-0.1616,-14.0283,,,-9.5683,,-0.5971,4.0395,,,,,0.001,-2.01,,,,83.97,-168.91,,1000.16,,,,,,,,,,,66007
0.4729,-8.425,,,-9.6433,,5.3159,2.2487,,,,,0.001,-13.49,,,,77.82,155.94,,1000.06,,,,,,,,,,,66507
1.3196,-14.3324,,,-9.6186,,-3.548,4.2945,,,,,0.001,-3.76,,,,78.66,84.15,,1000.18,,,,,,,,,,,67007
2.6709,-10.8581,,,-9.5549,,-3.6772,3.5585,,,,,0.001,-15.7,,,,75.77,172.25,,1000.12,,,,,,,,,,,67507
0.4259,-10.3771,,,-9.5685,,-2.1924,0.8947,,,,,0.001,-14.27,,,,82.18,44.16,,1000.06,,,,,,,,,,,68007
-2.6741,-0.7167,,,-8.4099,,2.7543,-7.5729,,,,,0.001,-20.5,,,,62.78,-178.86,,1000.24,,,,,,,,,,,68507
2.9562,-8.4552,,,-9.6748,,-4.6532,-0.6039,,,,,0.001,11.88,,,,76.96,172.59,,1000.06,,,,,,,,,,,69007
-1.6701,-1.9731,,,-9.3663,,1.3315,-8.2088,,,,,0.001,-16.08,,,,53.42,-178.74,,1000.33,,,,,,,,,,,69506
1.2578,-7.2653,,,-9.6783,,-1.8464,-0.6938,,,,,0.001,2.01,,,,81.41,-155.17,,1000.01,,,,,,,,,,,70007
-0.4804,-10.13,,,-9.7293,,1.2542,-0.4718,,,,,0.001,6.72,,,,82.65,177.84,,1000.04,,,,,,,,,,,70506
-1.1492,-11.6144,,,-9.3966,,-0.3199,4.6374,,,,,0.001,-1.61,,,,73.31,-170.77,,1000.33,,,,,,,,,,,71006
-0.1131,-15.0619,,,-9.6593,,0.3598,6.0881,,,,,0.001,-2.98,,,,83.83,168.27,,1000.15,,,,,,,,,,,71506
0.0863,-3.6991,,,-8.5936,,1.9117,-5.4607,,,,,0.001,-6.02,,,,61.16,-174.74,,1000.36,,,,,,,,,,,72006
4.0619,-8.3107,,,-9.7438,,-1.9229,-3.0123,,,,,0.001,-7.3,,,,83.34,-162.25,,1000.21,,,,,,,,,,,72507
-0.5359,-8.3706,,,-9.6151,,-0.4309,-1.1655,,,,,0.001,-6.09,,,,63.98,-177.08,,1000.33,,,,,,,,,,,73007
0.6704,-9.5017,,,-9.6604,,-5.1173,3.899,,,,,0.001,-1.72,,,,79.98,56.43,,1000.45,,,,,,,,,,,73507
-3.4428,-8.7155,,,-9.4845,,1.1069,2.2308,,,,,0.001,21.57,,,,68,170.29,,1000.47,,,,,,,,,,,74006
-1.3797,-8.9531,,,-9.7512,,0.2808,-0.7946,,,,,0.001,15.8,,,,81.33,152.53,,1000.32,,,,,,,,,,,74507
-1.8325,-11.4596,,,-9.2429,,1.3335,2.6116,,,,,0.001,-6.31,,,,81.9,89.81,,1000.29,,,,,,,,,,,75006
